trial,focal_length,simulation_success,error_message
0,25.270915299968024,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
1,24.986969751016616,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
2,24.75074668628125,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
3,24.82244423884296,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
4,25.302850600205627,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
5,25.21064360685624,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
6,24.840984320880573,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
7,25.41794721266114,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
8,25.081325233158594,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
9,24.542669943692598,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
10,24.86321389301384,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
11,25.28628945441702,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
12,24.70380902387306,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
13,24.759399253989997,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
14,24.78095816114318,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
15,24.909367011500926,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
16,25.26464310950412,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
17,24.910941887568793,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
18,25.18344779530583,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
19,25.042379393542813,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
20,25.030857001606602,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
21,25.064640020586026,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
22,24.812184638125203,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
23,25.390299045803097,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
24,24.7571119440597,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
25,25.295142957336026,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
26,25.069558267308757,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
27,24.399647740998233,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
28,24.888972505006517,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
29,25.218508888043306,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
30,24.83485924378064,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
31,24.940123562024176,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
32,24.90524949271468,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
33,24.901127128624896,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
34,24.784319819039716,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
35,25.272252345201167,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
36,25.113537057868328,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
37,24.938502673089726,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
38,25.200261518902867,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
39,24.970009871333474,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
40,25.419792232742758,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
41,24.884687872800342,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
42,25.263373462304788,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
43,24.899921494983346,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
44,24.79323144164673,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
45,24.71770466130504,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
46,24.86603464140925,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
47,25.27979053690052,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
48,24.863049116174267,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
49,25.53587088398425,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
50,24.380238333458287,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
51,25.25864423387881,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
52,25.31191609396849,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
53,25.22316665095099,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
54,25.358069074324654,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
55,24.779848784079086,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
56,24.73371416548101,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
57,24.710439005017477,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
58,25.139934989903196,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
59,25.290481643183483,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
60,24.6775780068602,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
61,25.105627415774904,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
62,25.032912701395382,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
63,24.945351760917813,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
64,25.243659154533074,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
65,24.869696377604917,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
66,25.352667234782412,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
67,24.930086280961106,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
68,24.969348356257086,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
69,25.361425565486122,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
70,25.00892956226718,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
71,24.96827025817606,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
72,24.704614295481743,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
73,25.001099319194132,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
74,25.034540591151874,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
75,24.7647772380069,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
76,24.741326490371602,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
77,24.690864003454177,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
78,24.97166032543516,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
79,25.12001065704412,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
80,24.85588445737382,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
81,25.263390584103583,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
82,25.470400251534084,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
83,24.93058165936817,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
84,25.248845408022675,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
85,24.724865843232774,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
86,25.17584221452806,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
87,24.898911456766175,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
88,25.140270845889656,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
89,24.994592252480132,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
90,25.23831439715881,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
91,24.60612030693887,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
92,24.635649792002734,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
93,25.244294924387674,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
94,24.8936287818363,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
95,25.66155912686504,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
96,25.124798053821515,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
97,25.2164962717496,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
98,24.483307758451996,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
99,24.884025952414902,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
100,24.669350900099992,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
101,25.150853706020797,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
102,24.493243277173903,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
103,25.231432445166003,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
104,25.32204700071204,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
105,25.40074630292911,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
106,24.86485541759357,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
107,25.08341146418151,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
108,24.819553063273904,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
109,25.20595019450952,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
110,25.105513091867785,False,'StarTrackerPipeline' object has no attribute 'analyze_psf_file'
